"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density","total_population_density"
"AD",4.3702917098999,9.09956550598145,20.9740180969238,13.4522800445557,16.6037273406982,2.61782884597778,2.67487215995789,2.13498020172119,3.0995876789093,75.1697387695312,73.5396957397461,69.6438140869141,77.2237930297852,0.178662642836571,0.0785980299115181,0.0452646911144257,0.0136244399473071,5.11625585204456e-05,0.0269092340022326,0.141026645898819,0.515863120555878,21215.412109375,NA,44.7757625879702
"AL013",2.92329978942871,10.6307468414307,23.9047603607178,13.6846237182617,20.9814605712891,4.10904264450073,3.25632071495056,1.10166049003601,3.42254424095154,79.0732955932617,71.9192733764648,53.6358070373535,68.8115310668945,0.13218092918396,0.194751918315887,0.00605995394289494,0.0192152019590139,0.0288866516202688,0,0.61729234457016,0,144907.5,NA,62.4211471814783
"AL015",3.75768280029297,10.9471940994263,24.1836776733398,14.2358531951904,20.4259967803955,5.73347425460815,4.28381013870239,1.12179565429688,4.73366785049438,77.4694976806641,72.2934341430664,55.7082824707031,69.1419677734375,0.153114423155785,0.133199974894524,0.00613349722698331,0.0119941150769591,0.0405989214777946,0,0.611343860626221,0,196338.859375,NA,54.9192881490759
"AL014",7.8796820640564,14.9697160720825,27.921329498291,18.1064300537109,20.0416469573975,4.40585374832153,3.10175919532776,0.957500576972961,3.76827430725098,76.2402725219727,71.1748962402344,57.075023651123,69.218017578125,0.106085814535618,0.138564184308052,5.29534194271264e-10,0.0107497666031122,0.0390667878091335,0,0.631467938423157,0,75296.0859375,NA,45.4539862845633
"AL011",4.80407905578613,12.2641324996948,25.6093807220459,15.4921588897705,20.8053016662598,3.62646842002869,2.74846196174622,0.890543699264526,3.05504846572876,80.5481719970703,73.0565185546875,55.2391090393066,70.100341796875,0.0643184930086136,0.257940858602524,0.00278105470351875,0.0107417069375515,0.048229742795229,0,0.60304319858551,0,103491.171875,NA,41.0657520785054
"AL012",9.74018955230713,16.0897979736328,28.7751846313477,19.4847736358643,19.0349960327148,3.77407932281494,2.68037700653076,0.663349747657776,3.2067334651947,74.094352722168,70.2091598510742,57.9833068847656,68.5554733276367,0.175344198942184,0.109479896724224,4.93267426904254e-10,0.022864306345582,0.0601835548877716,0,0.591374516487122,0,198103.25,NA,257.430099211758
"AL021",6.03573942184448,12.8209266662598,26.0093669891357,16.3193035125732,19.9736251831055,3.13003444671631,2.36111116409302,0.694143712520599,2.5856237411499,79.0618362426758,71.4687271118164,54.655101776123,69.1084060668945,0.0843393132090569,0.238993555307388,0.0148336058482528,0.0140176797285676,0.0813154354691505,0,0.560328364372253,0,309085.875,NA,93.4033182019452
"AL022",9.39690589904785,15.5599889755249,28.2892589569092,19.1030311584473,18.8923511505127,3.2559552192688,2.39000105857849,0.521269142627716,2.72482347488403,74.7587280273438,70.4490661621094,57.5964775085449,68.5544128417969,0.186862245202065,0.139430910348892,6.481362113675e-10,0.0276679582893848,0.0756098851561546,0,0.565317153930664,0,608569.9375,NA,367.673986442701
"AL034",4.05038499832153,11.4981145858765,24.8404960632324,14.7930288314819,20.7901096343994,2.62786602973938,2.04523062705994,0.60224175453186,2.195885181427,81.6859817504883,71.7785797119141,52.1245994567871,68.722297668457,0.0643533170223236,0.180581912398338,0.0483819656074047,0.00887215044349432,0.0115776946768165,0.32847785949707,0.0974131003022194,0.20299606025219,134207.875,NA,36.322095911895
"AL031",7.33872652053833,13.7408123016357,26.6534442901611,17.3013019561768,19.3147163391113,3.2038106918335,2.23289966583252,0.641573190689087,2.60949206352234,77.5094375610352,70.1557769775391,54.5185165405273,68.6374969482422,0.137229114770889,0.232905730605125,0.0237757917493582,0.0104231229051948,0.0634338930249214,0,0.529829919338226,0,71635.53125,NA,39.4120767770238
"AL032",11.4903631210327,17.0781021118164,29.3381042480469,20.7388172149658,17.8477420806885,3.08544063568115,2.11866283416748,0.5354984998703,2.69133830070496,74.9106979370117,69.1612243652344,57.5835723876953,69.2418212890625,0.296608507633209,0.164888605475426,0.0014359432971105,0.0201232954859734,0.0351702906191349,0,0.468170940876007,0,165325.84375,NA,89.2286866646357
"AL035",10.1859531402588,16.0920963287354,28.5660285949707,19.6246128082275,18.3800754547119,4.47377872467041,2.3838484287262,0.422027409076691,3.51473903656006,76.3779907226562,72.0249633789062,58.7944717407227,70.5304565429688,0.126938715577126,0.178766220808029,0.0354440063238144,0.00362743996083736,0.0237935911864042,0.00442882906645536,0.458075314760208,0.000881656946148723,47458.734375,NA,17.3961833871532
"AL033",6.62834739685059,13.063006401062,26.1502265930176,16.5900039672852,19.521879196167,4.61489915847778,2.51279020309448,0.521413803100586,3.43072128295898,77.4572143554688,71.0163726806641,53.751033782959,68.5180587768555,0.0912287309765816,0.232273265719414,0.0295372121036053,0.00456976518034935,0.045494731515646,0.0123030040413141,0.52940571308136,0.00433084135875106,38993.26953125,NA,13.5806827443054
"AT11",4.29089641571045,12.8401117324829,24.0231132507324,14.1733846664429,19.7322158813477,1.65264320373535,2.62469506263733,2.67751002311707,2.160728931427,80.3841781616211,70.7058258056641,65.5434646606445,76.47607421875,0.275457322597504,0.0152042480185628,1.15621096483665e-05,0.0093963909894228,1.40129846432482e-45,0.0023044110275805,0.315776199102402,0.362155854701996,320235.53125,NA,81.0037024549889
"AT12",3.4776782989502,11.6069021224976,22.6130561828613,12.9073114395142,19.1353778839111,2.44889140129089,3.01234555244446,3.08201789855957,2.25275087356567,82.3773880004883,73.612434387207,68.7056427001953,79.6763916015625,0.261889398097992,0.178447067737579,0.00479183159768581,0.0192529279738665,0,0.0087498752400279,0.0734608620405197,0.45306470990181,3332628.5,NA,174.497930682637
"AT13",4.78872394561768,13.1262655258179,24.1782379150391,14.1947975158691,19.3895149230957,2.01152753829956,2.57033324241638,2.59451603889465,2.11107349395752,80.8379135131836,71.5067138671875,65.6108779907227,77.0277786254883,0.236123204231262,0.157577559351921,2.47817016907348e-10,0.109802909195423,0,0.00697485031560063,0,0.489521473646164,474528.15625,NA,1119.33776407312
"AT21",1.05032515525818,7.93806076049805,18.6507301330566,10.2522764205933,17.6004066467285,2.86905479431152,4.0323634147644,4.39322090148926,4.076988697052,81.2671203613281,76.4994888305664,75.0249862670898,82.7466506958008,0.119056046009064,0.141926854848862,0.0804217830300331,0.0104546416550875,0,0,0.644007086753845,0,618958.3125,NA,65.4744312306681
"AT22",1.73514652252197,8.93533706665039,19.8408107757568,11.0486440658569,18.1056652069092,2.75336718559265,3.72826766967773,3.96876668930054,3.14335227012634,82.5410614013672,76.2968139648438,73.9551162719727,82.5226898193359,0.12751017510891,0.0888713523745537,0.0317490212619305,0.0129778543487191,9.4071860162832e-25,0.00339122558943927,0.677031099796295,0.0575247816741467,1306009.5,NA,79.774018781349
"AT31",3.24104857444763,10.5640850067139,21.2572402954102,12.2486696243286,18.0161933898926,3.78261756896973,4.07170963287354,4.1306209564209,3.18666458129883,83.3095169067383,75.2278518676758,72.4521255493164,82.6298675537109,0.20948688685894,0.244162708520889,0.0160074438899755,0.0174364373087883,0,0.00504274340346456,0.311339139938354,0.191800907254219,1334478.375,NA,111.863652158517
"AT32",0.737450301647186,6.06997919082642,16.3383865356445,8.93141746520996,15.6009349822998,3.8799045085907,4.93252086639404,5.86262941360474,4.07206630706787,81.5582122802734,78.48583984375,78.4762649536133,84.0182723999023,0.10311471670866,0.214619189500809,0.186661064624786,0.00776085024699569,0,0,0.471097111701965,0,585623.625,NA,81.7592589024604
"AT33",-0.114755630493164,5.34925651550293,15.2188177108765,8.08762454986572,15.3335723876953,3.43146991729736,4.10697078704834,5.7788200378418,3.64756488800049,77.820930480957,75.6385955810547,78.5871429443359,81.7419357299805,0.0834033638238907,0.207056939601898,0.232636019587517,0.00462495628744364,0,0,0.451081871986389,0,971732.375,NA,77.129522794171
"AT34",1.54297852516174,7.04449272155762,16.7897396087646,9.5635347366333,15.2467622756958,4.53576231002808,4.68338298797607,6.44029331207275,4.11619472503662,77.658088684082,74.3275985717773,78.0466461181641,81.0174026489258,0.121775679290295,0.219794124364853,0.161194130778313,0.0179493799805641,0.000319362326990813,0,0.470461010932922,0,414076.5625,NA,157.690232489533
