"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density","total_population_density"
"AD",3.85578656196594,10.5227832794189,21.1712913513184,13.1758871078491,17.3155059814453,2.63352108001709,2.38506531715393,2.06903171539307,2.56530547142029,74.9424362182617,71.2920227050781,68.2754211425781,75.1770706176758,0.178662642836571,0.0785980299115181,0.0452646911144257,0.0136244399473071,5.11625585204456e-05,0.0269092340022326,0.141026645898819,0.515863120555878,21215.412109375,NA,44.7757625879702
"AL013",1.78141903877258,11.5746965408325,22.7536945343018,12.7090854644775,20.9722747802734,4.2904634475708,2.57753610610962,1.52849161624908,3.45915389060974,79.7136688232422,68.1528549194336,59.1471824645996,71.3164138793945,0.13218092918396,0.194751918315887,0.00605995394289494,0.0192152019590139,0.0288866516202688,0,0.61729234457016,0,144907.5,NA,62.4211471814783
"AL015",2.70978736877441,11.7733964920044,23.0509395599365,13.2645654678345,20.3411540985107,6.2757363319397,3.17882776260376,1.54484581947327,4.86107921600342,77.9275741577148,69.1982116699219,61.0906677246094,71.7304306030273,0.153114423155785,0.133199974894524,0.00613349722698331,0.0119941150769591,0.0405989214777946,0,0.611343860626221,0,196338.859375,NA,54.9192881490759
"AL014",7.07284593582153,15.7024955749512,26.8911819458008,17.3887386322021,19.8183345794678,4.95758485794067,2.74792551994324,1.19189655780792,3.79655122756958,76.3557052612305,69.2409515380859,61.3133926391602,70.2927780151367,0.106085814535618,0.138564184308052,5.29534194271264e-10,0.0107497666031122,0.0390667878091335,0,0.631467938423157,0,75296.0859375,NA,45.4539862845633
"AL011",3.92734837532043,13.0921516418457,24.6665916442871,14.7527503967285,20.7392444610596,3.93434906005859,2.3598313331604,1.16983211040497,3.01031708717346,80.8813018798828,69.9703674316406,59.6559829711914,71.2099761962891,0.0643184930086136,0.257940858602524,0.00278105470351875,0.0107417069375515,0.048229742795229,0,0.60304319858551,0,103491.171875,NA,41.0657520785054
"AL012",8.99129676818848,16.766580581665,27.7136039733887,18.8042163848877,18.7223072052002,4.50764226913452,2.38903260231018,0.896593868732452,3.30203533172607,74.1371231079102,68.7774810791016,62.1702346801758,69.5698471069336,0.175344198942184,0.109479896724224,4.93267426904254e-10,0.022864306345582,0.0601835548877716,0,0.591374516487122,0,198103.25,NA,257.430099211758
"AL021",5.21321725845337,13.5843315124512,25.0408096313477,15.5924940109253,19.8275909423828,3.51130366325378,2.03941583633423,0.923542439937592,2.57849931716919,79.6037673950195,68.7670059204102,58.9097175598145,70.219482421875,0.0843393132090569,0.238993555307388,0.0148336058482528,0.0140176797285676,0.0813154354691505,0,0.560328364372253,0,309085.875,NA,93.4033182019452
"AL022",8.64560699462891,16.2498435974121,27.2463417053223,18.4294261932373,18.6007347106934,3.96636724472046,2.11117649078369,0.768980205059052,2.82432913780212,74.8513259887695,68.7955093383789,61.8378753662109,69.5660400390625,0.186862245202065,0.139430910348892,6.481362113675e-10,0.0276679582893848,0.0756098851561546,0,0.565317153930664,0,608569.9375,NA,367.673986442701
"AL034",3.19663071632385,12.2249307632446,23.8318939208984,13.9935541152954,20.6352634429932,3.02589297294617,1.78254330158234,0.853118002414703,2.15628385543823,83.0202026367188,68.8391189575195,56.2041358947754,70.1225662231445,0.0643533170223236,0.180581912398338,0.0483819656074047,0.00887215044349432,0.0115776946768165,0.32847785949707,0.0974131003022194,0.20299606025219,134207.875,NA,36.322095911895
"AL031",6.55041742324829,14.4333610534668,25.6514453887939,16.5590553283691,19.1010284423828,3.65148067474365,1.9312858581543,0.791657507419586,2.57302856445312,78.2632522583008,67.9942932128906,58.422046661377,69.676399230957,0.137229114770889,0.232905730605125,0.0237757917493582,0.0104231229051948,0.0634338930249214,0,0.529829919338226,0,71635.53125,NA,39.4120767770238
"AL032",10.8404188156128,17.7047786712646,28.3389892578125,20.0991153717041,17.498571395874,3.76851439476013,1.8371514081955,0.607284426689148,2.68467020988464,74.7163696289062,68.146354675293,61.208927154541,69.9163131713867,0.296608507633209,0.164888605475426,0.0014359432971105,0.0201232954859734,0.0351702906191349,0,0.468170940876007,0,165325.84375,NA,89.2286866646357
"AL035",9.50898361206055,16.688720703125,27.505859375,18.9753723144531,17.9968776702881,5.11533832550049,2.06583833694458,0.502837717533112,3.6154420375824,75.9554748535156,70.3739700317383,62.6006011962891,71.1713256835938,0.126938715577126,0.178766220808029,0.0354440063238144,0.00362743996083736,0.0237935911864042,0.00442882906645536,0.458075314760208,0.000881656946148723,47458.734375,NA,17.3961833871532
"AL033",5.81290483474731,13.7395896911621,25.1287422180176,15.8589763641357,19.3158378601074,5.05892610549927,2.1902186870575,0.676386952400208,3.55066704750061,78.1547927856445,68.672966003418,57.7329521179199,69.5940017700195,0.0912287309765816,0.232273265719414,0.0295372121036053,0.00456976518034935,0.045494731515646,0.0123030040413141,0.52940571308136,0.00433084135875106,38993.26953125,NA,13.5806827443054
"AT11",3.32398867607117,14.1604595184326,23.0532684326172,13.4955205917358,19.7292804718018,1.66406726837158,2.05949258804321,2.91995549201965,1.95072984695435,81.9065322875977,68.171745300293,67.0980911254883,78.2347106933594,0.275457322597504,0.0152042480185628,1.15621096483665e-05,0.0093963909894228,1.40129846432482e-45,0.0023044110275805,0.315776199102402,0.362155854701996,320235.53125,NA,81.0037024549889
"AT12",2.4523663520813,13.0454511642456,21.8886737823486,12.6196737289429,19.4363079071045,2.33642101287842,2.59722471237183,3.18911671638489,1.97949743270874,83.5058898925781,70.7792816162109,70.1990127563477,80.0791244506836,0.261889398097992,0.178447067737579,0.00479183159768581,0.0192529279738665,0,0.0087498752400279,0.0734608620405197,0.45306470990181,3332628.5,NA,174.497930682637
"AT13",3.77234268188477,14.5290460586548,23.4237422943115,13.7621011734009,19.6513957977295,1.91280353069305,2.13222360610962,2.47037506103516,1.85852360725403,82.9015655517578,68.9265747070312,66.8984069824219,78.1813354492188,0.236123204231262,0.157577559351921,2.47817016907348e-10,0.109802909195423,0,0.00697485031560063,0,0.489521473646164,474528.15625,NA,1119.33776407312
"AT21",0.197226718068123,9.36810970306396,18.2789249420166,10.0053606033325,18.0816993713379,2.81320428848267,3.3328423500061,4.69945096969604,3.43547081947327,80.9726715087891,73.7895660400391,75.1334457397461,81.9614715576172,0.119056046009064,0.141926854848862,0.0804217830300331,0.0104546416550875,0,0,0.644007086753845,0,618958.3125,NA,65.4744312306681
