"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density","total_population_density"
"AD",5.38814687728882,10.4449272155762,22.3885765075684,14.5766038894653,17.0004291534424,2.28664135932922,2.61710548400879,1.81856048107147,2.38756728172302,71.1958541870117,68.6561050415039,63.9659194946289,72.3601226806641,0.178662642836571,0.0785980299115181,0.0452646911144257,0.0136244399473071,5.11625585204456e-05,0.0269092340022326,0.141026645898819,0.515863120555878,21215.412109375,NA,44.7757625879702
"AL013",3.26658892631531,11.6197309494019,24.379861831665,14.4265308380127,21.1132736206055,3.79477667808533,2.90297174453735,1.56397581100464,3.63556337356567,76.4117279052734,65.8125076293945,55.3449172973633,68.4470596313477,0.13218092918396,0.194751918315887,0.00605995394289494,0.0192152019590139,0.0288866516202688,0,0.61729234457016,0,144907.5,NA,62.4211471814783
"AL015",4.13285350799561,11.892017364502,24.6924095153809,15.0092840194702,20.5595569610596,5.37457180023193,3.625736951828,1.53228640556335,4.83890819549561,74.8637161254883,66.5530548095703,57.6605987548828,68.737174987793,0.153114423155785,0.133199974894524,0.00613349722698331,0.0119941150769591,0.0405989214777946,0,0.611343860626221,0,196338.859375,NA,54.9192881490759
"AL014",8.06241321563721,15.8280229568481,28.3308773040771,18.9073238372803,20.2684650421143,4.16049289703369,3.0946638584137,1.23606169223785,3.76493287086487,73.8611831665039,66.7241058349609,59.6666374206543,68.8288726806641,0.106085814535618,0.138564184308052,5.29534194271264e-10,0.0107497666031122,0.0390667878091335,0,0.631467938423157,0,75296.0859375,NA,45.4539862845633
"AL011",5.1064600944519,13.2552623748779,25.8724155426025,16.2510166168213,20.7659568786621,3.34891176223755,2.6692898273468,1.23194050788879,3.12904787063599,77.7138671875,67.3258743286133,58.7491607666016,69.9593505859375,0.0643184930086136,0.257940858602524,0.00278105470351875,0.0107417069375515,0.048229742795229,0,0.60304319858551,0,103491.171875,NA,41.0657520785054
"AL012",9.90282249450684,16.8932857513428,29.2423000335693,20.3450450897217,19.3394775390625,3.66753792762756,2.70508646965027,0.97236180305481,3.17154407501221,72.0466461181641,66.3276596069336,60.3689880371094,67.9611511230469,0.175344198942184,0.109479896724224,4.93267426904254e-10,0.022864306345582,0.0601835548877716,0,0.591374516487122,0,198103.25,NA,257.430099211758
"AL021",6.42368412017822,13.7778472900391,26.384937286377,17.1837749481201,19.961254119873,2.98409938812256,2.3105731010437,0.969323933124542,2.66822099685669,76.4709396362305,66.1432800292969,57.6602630615234,68.6810302734375,0.0843393132090569,0.238993555307388,0.0148336058482528,0.0140176797285676,0.0813154354691505,0,0.560328364372253,0,309085.875,NA,93.4033182019452
"AL022",9.59834575653076,16.3910160064697,28.726411819458,19.9734878540039,19.1280651092529,3.19106316566467,2.39917826652527,0.86179393529892,2.70592164993286,72.6824417114258,66.3248443603516,60.2401428222656,67.9695205688477,0.186862245202065,0.139430910348892,6.481362113675e-10,0.0276679582893848,0.0756098851561546,0,0.565317153930664,0,608569.9375,NA,367.673986442701
"AL034",4.54189920425415,12.4247150421143,25.2638053894043,15.7068128585815,20.7219066619873,2.58248448371887,2.01075053215027,0.870504677295685,2.37052774429321,79.0075759887695,66.3418960571289,54.6265678405762,68.1853103637695,0.0643533170223236,0.180581912398338,0.0483819656074047,0.00887215044349432,0.0115776946768165,0.32847785949707,0.0974131003022194,0.20299606025219,134207.875,NA,36.322095911895
"AL031",7.81385660171509,14.6688613891602,27.2563571929932,18.2941455841064,19.4425010681152,3.15864205360413,2.19020128250122,0.776840031147003,2.75073099136353,75.1111373901367,65.3515167236328,56.2381401062012,67.7705230712891,0.137229114770889,0.232905730605125,0.0237757917493582,0.0104231229051948,0.0634338930249214,0,0.529829919338226,0,71635.53125,NA,39.4120767770238
