"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density","total_population_density"
"AD",3.76504468917847,8.80491542816162,20.9205703735352,13.0614461898804,17.1555252075195,2.52302145957947,2.88271021842957,1.88347327709198,2.39140129089355,74.3271484375,72.9758758544922,68.6362609863281,73.7567977905273,0.178662642836571,0.0785980299115181,0.0452646911144257,0.0136244399473071,5.11625585204456e-05,0.0269092340022326,0.141026645898819,0.515863120555878,21215.412109375,NA,44.7757625879702
"AL013",2.15596461296082,10.4312801361084,22.80810546875,13.8877305984497,20.6521415710449,3.90746545791626,3.13449692726135,1.61541283130646,3.51975083351135,78.3841400146484,69.8197021484375,59.2615127563477,68.3614120483398,0.13218092918396,0.194751918315887,0.00605995394289494,0.0192152019590139,0.0288866516202688,0,0.61729234457016,0,144907.5,NA,62.4211471814783
"AL015",3.0556480884552,10.723747253418,23.1429862976074,14.3371438980103,20.0873394012451,5.59015607833862,3.99399280548096,1.52792870998383,4.9317193031311,76.6223602294922,70.1963882446289,60.7014846801758,68.8965148925781,0.153114423155785,0.133199974894524,0.00613349722698331,0.0119941150769591,0.0405989214777946,0,0.611343860626221,0,196338.859375,NA,54.9192881490759
"AL014",7.40336418151855,14.7091608047485,27.2807312011719,18.4829425811768,19.877368927002,4.34643316268921,3.39934635162354,1.25305116176605,3.64970850944519,75.5026397705078,69.8561401367188,58.6073570251465,67.3517761230469,0.106085814535618,0.138564184308052,5.29534194271264e-10,0.0107497666031122,0.0390667878091335,0,0.631467938423157,0,75296.0859375,NA,45.4539862845633
"AL011",4.34286546707153,12.072566986084,24.5795745849609,15.8827857971191,20.2367095947266,3.47193121910095,2.88643479347229,1.31843614578247,2.96313190460205,79.4384307861328,71.2651824951172,60.0334434509277,68.7341537475586,0.0643184930086136,0.257940858602524,0.00278105470351875,0.0107417069375515,0.048229742795229,0,0.60304319858551,0,103491.171875,NA,41.0657520785054
"AL012",9.27055835723877,15.7852554321289,28.2498912811279,19.8921909332275,18.9793338775635,3.79808354377747,2.99813628196716,0.960208058357239,3.17092251777649,73.5090713500977,69.160530090332,58.4776420593262,66.4363861083984,0.175344198942184,0.109479896724224,4.93267426904254e-10,0.022864306345582,0.0601835548877716,0,0.591374516487122,0,198103.25,NA,257.430099211758
"AL021",5.57482051849365,12.5693988800049,25.0814514160156,16.7329120635986,19.5066299438477,3.02128100395203,2.49338150024414,1.05441236495972,2.51036882400513,78.0385589599609,69.9455642700195,58.5430145263672,67.9105911254883,0.0843393132090569,0.238993555307388,0.0148336058482528,0.0140176797285676,0.0813154354691505,0,0.560328364372253,0,309085.875,NA,93.4033182019452
"AL022",8.93442153930664,15.2629413604736,27.6627025604248,19.5294322967529,18.7282810211182,3.27386927604675,2.65760254859924,0.865843653678894,2.7296872138977,74.0939407348633,69.3386993408203,58.9056777954102,66.5237350463867,0.186862245202065,0.139430910348892,6.481362113675e-10,0.0276679582893848,0.0756098851561546,0,0.565317153930664,0,608569.9375,NA,367.673986442701
"AL034",3.56314492225647,11.1921796798706,23.9699039459229,15.1774320602417,20.406759262085,2.60431575775146,2.14759182929993,0.932913899421692,2.22663640975952,80.8788986206055,70.2385482788086,55.8010292053223,68.2158966064453,0.0643533170223236,0.180581912398338,0.0483819656074047,0.00887215044349432,0.0115776946768165,0.32847785949707,0.0974131003022194,0.20299606025219,134207.875,NA,36.322095911895
"AL031",6.85779333114624,13.4166994094849,25.9465351104736,17.6774024963379,19.0887413024902,3.12572741508484,2.38474869728088,0.860394418239594,2.50113439559937,76.6919784545898,68.9354858398438,56.4923934936523,67.7413177490234,0.137229114770889,0.232905730605125,0.0237757917493582,0.0104231229051948,0.0634338930249214,0,0.529829919338226,0,71635.53125,NA,39.4120767770238
"AL032",11.0311584472656,16.7333202362061,28.9491138458252,21.0884742736816,17.9179573059082,3.06037330627441,2.39851236343384,0.68365341424942,2.46579265594482,74.4246215820312,68.3360061645508,56.6123046875,67.7408294677734,0.296608507633209,0.164888605475426,0.0014359432971105,0.0201232954859734,0.0351702906191349,0,0.468170940876007,0,165325.84375,NA,89.2286866646357
"AL035",9.68192958831787,15.7095184326172,28.0300197601318,19.9706058502197,18.3480911254883,4.4649453163147,2.58585214614868,0.516806781291962,3.42595362663269,76.1827163696289,71.0999755859375,58.5366821289062,69.6797409057617,0.126938715577126,0.178766220808029,0.0354440063238144,0.00362743996083736,0.0237935911864042,0.00442882906645536,0.458075314760208,0.000881656946148723,47458.734375,NA,17.3961833871532
"AL033",6.11750173568726,12.7156677246094,25.3526954650879,16.9887199401855,19.2351951599121,4.53895616531372,2.65925455093384,0.724295794963837,3.46245718002319,76.8341293334961,69.7802734375,56.2330131530762,67.756217956543,0.0912287309765816,0.232273265719414,0.0295372121036053,0.00456976518034935,0.045494731515646,0.0123030040413141,0.52940571308136,0.00433084135875106,38993.26953125,NA,13.5806827443054
"AT11",2.94745564460754,12.8308601379395,23.235315322876,13.76194190979,20.2878570556641,1.47175228595734,1.93796539306641,2.70309638977051,2.2579345703125,79.8098373413086,67.6200714111328,66.333251953125,77.4231872558594,0.275457322597504,0.0152042480185628,1.15621096483665e-05,0.0093963909894228,1.40129846432482e-45,0.0023044110275805,0.315776199102402,0.362155854701996,320235.53125,NA,81.0037024549889
"AT12",2.1960346698761,11.692702293396,22.0039310455322,12.7643661499023,19.8078956604004,2.08588266372681,2.34474873542786,3.07961893081665,2.24493765830994,80.9325866699219,70.1557464599609,69.6801910400391,79.4115524291992,0.261889398097992,0.178447067737579,0.00479183159768581,0.0192529279738665,0,0.0087498752400279,0.0734608620405197,0.45306470990181,3332628.5,NA,174.497930682637
"AT13",3.44860887527466,13.2400379180908,23.6775074005127,14.1147174835205,20.2288970947266,1.66689932346344,1.99441945552826,2.39527916908264,2.07271313667297,80.1987609863281,67.8753356933594,65.182861328125,76.3619384765625,0.236123204231262,0.157577559351921,2.47817016907348e-10,0.109802909195423,0,0.00697485031560063,0,0.489521473646164,474528.15625,NA,1119.33776407312
"AT21",-0.181614771485329,7.84719467163086,18.3039150238037,10.0839805603027,18.4855289459229,2.65217208862305,3.23939871788025,4.56701850891113,4.16902685165405,79.4531173706055,74.078742980957,76.5302352905273,82.5323791503906,0.119056046009064,0.141926854848862,0.0804217830300331,0.0104546416550875,0,0,0.644007086753845,0,618958.3125,NA,65.4744312306681
"AT22",0.433034926652908,8.95208740234375,19.2351169586182,10.8111200332642,18.8020820617676,2.46489357948303,2.84725522994995,4.4658694267273,3.22763347625732,80.7314071655273,73.1197967529297,75.7052917480469,82.4590682983398,0.12751017510891,0.0888713523745537,0.0317490212619305,0.0129778543487191,9.4071860162832e-25,0.00339122558943927,0.677031099796295,0.0575247816741467,1306009.5,NA,79.774018781349
"AT31",1.88222801685333,10.6461458206177,20.711238861084,12.0916213989258,18.8290100097656,3.15677857398987,3.303391456604,4.41354608535767,3.08167576789856,81.3607406616211,72.2354125976562,74.6052169799805,82.2536163330078,0.20948688685894,0.244162708520889,0.0160074438899755,0.0174364373087883,0,0.00504274340346456,0.311339139938354,0.191800907254219,1334478.375,NA,111.863652158517
"AT32",-0.524456977844238,6.13375377655029,16.2015209197998,8.85698699951172,16.7259769439697,3.28686475753784,3.98927664756775,5.9578685760498,4.08228349685669,79.0778350830078,75.6615982055664,78.9721908569336,82.9800796508789,0.10311471670866,0.214619189500809,0.186661064624786,0.00776085024699569,0,0,0.471097111701965,0,585623.625,NA,81.7592589024604
"AT33",-1.16174268722534,5.35293340682983,15.2900466918945,8.03989124298096,16.451789855957,2.99835896492004,3.55346202850342,5.11089086532593,3.60674166679382,74.5461959838867,73.3489990234375,77.5582046508789,80.1988754272461,0.0834033638238907,0.207056939601898,0.232636019587517,0.00462495628744364,0,0,0.451081871986389,0,971732.375,NA,77.129522794171
"AT34",0.410528391599655,6.93654680252075,16.8482398986816,9.4328498840332,16.4377117156982,3.88529062271118,4.27309703826904,5.33193492889404,4.11621141433716,74.0731964111328,72.1955413818359,76.0077362060547,79.2879943847656,0.121775679290295,0.219794124364853,0.161194130778313,0.0179493799805641,0.000319362326990813,0,0.470461010932922,0,414076.5625,NA,157.690232489533
"BAG1652",3.32301831245422,11.1950025558472,22.726375579834,14.0247449874878,19.403356552124,3.43971014022827,3.03683948516846,2.00104379653931,3.23007440567017,80.6375503540039,70.4983062744141,65.7711639404297,74.6693344116211,0.142408773303032,0.14852911233902,0.0299568492919207,0.0116176344454288,7.59071963329916e-06,0.113332062959671,0.479668349027634,0.0664865151047707,1288893.875,NA,48.1939584996657
"BAG1653",3.73727774620056,12.138689994812,23.6902008056641,14.70325756073,19.9529228210449,3.1661593914032,2.93839955329895,2.1257381439209,2.98786759376526,80.3466796875,69.2504730224609,65.4913177490234,73.8864822387695,0.182370886206627,0.107855670154095,0.0254128221422434,0.00989400781691074,1.50590603880119e-05,0.139289021492004,0.413584202528,0.112476654350758,908981.875,NA,37.0848825179203
