"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density"
"AD",2.15728998184204,7.51999378204346,18.0805225372314,11.2837820053101,15.9232330322266,2.44784998893738,2.98619532585144,2.46889925003052,2.78306031227112,73.5563583374023,74.2726745605469,73.3470993041992,77.0951843261719,0.0966834276914597,0.0665047392249107,0.0431184619665146,0.0200678892433643,8.93027972779237e-05,0.0313368737697601,0.161688670516014,0.58051061630249,19144.14453125,40.4042903367523
"AL013",-0.268066674470901,8.82643413543701,20.3834838867188,11.2076654434204,20.6515502929688,3.97562599182129,3.38433384895325,1.44064724445343,3.89352869987488,78.0684280395508,71.6633453369141,59.7004737854004,71.2146835327148,0.150688022375107,0.179330259561539,0.00543484091758728,0.0186855047941208,0.0795449391007423,0,0.564703404903412,0,141413.03125,60.9158507119041
"AL015",0.69687032699585,9.15998268127441,20.7543678283691,11.8515005111694,20.0574970245361,5.49801731109619,4.26934719085693,1.48160874843597,5.45015525817871,76.1377792358398,71.763313293457,61.6228103637695,71.346305847168,0.152528807520866,0.138503506779671,0.00658278819173574,0.0128609500825405,0.111590594053268,0,0.534318149089813,0,190645.84375,53.3268557261625
"AL014",5.1520676612854,13.1931838989258,24.6960849761963,15.8902254104614,19.544017791748,4.36536502838135,3.48105549812317,1.21385383605957,4.18545627593994,74.3871307373047,71.2235794067383,61.6654052734375,70.6490859985352,0.201556116342545,0.12600776553154,5.29534194271264e-10,0.0199109893292189,0.106691502034664,0,0.471768110990524,0,83770.1484375,50.5695233786063
"AL011",2.00654697418213,10.5213499069214,22.1359806060791,13.1433401107788,20.1294364929199,3.62267875671387,3.06040334701538,1.18433213233948,3.40372037887573,78.6117477416992,72.7482604980469,60.8251609802246,71.9839630126953,0.180787578225136,0.177975296974182,0.0017262912588194,0.0127194160595536,0.102436207234859,0,0.511410236358643,0,113556.6328125,45.0597712390432
"AL012",7.03480672836304,14.256344795227,25.627140045166,17.3272018432617,18.5923366546631,3.72467255592346,3.07521295547485,0.963680386543274,3.56020164489746,72.2965621948242,70.411376953125,62.2133674621582,69.6409606933594,0.298381954431534,0.126710444688797,4.93267426904254e-10,0.0352259129285812,0.0896877646446228,0,0.409240424633026,0,212089.8125,275.605278932466
"AL021",3.30451416969299,11.0172443389893,22.5943756103516,14.0102691650391,19.2898616790771,3.09904742240906,2.71153450012207,0.974079310894012,2.91442775726318,77.1819458007812,71.472785949707,59.896671295166,70.9514617919922,0.194026470184326,0.170370221138,0.00985873583704233,0.0166771523654461,0.0979486852884293,0,0.504946708679199,0,332797.65625,100.568831828955
"AL022",6.67271614074707,13.714056968689,25.0784378051758,16.9195594787598,18.4057235717773,3.21163845062256,2.76628875732422,0.850333452224731,3.02805209159851,72.9619064331055,70.5859985351562,62.0516090393066,69.6667022705078,0.327523082494736,0.142649412155151,6.481362113675e-10,0.0386189706623554,0.0846447572112083,0,0.401451945304871,0,649815.875,392.593157323027
"AL034",1.37836623191833,9.67611026763916,21.3781681060791,12.4479026794434,19.9998035430908,2.71293711662292,2.42334747314453,0.880477130413055,2.60033512115479,79.8988037109375,72.029655456543,57.634880065918,71.2942047119141,0.202475860714912,0.111092321574688,0.0253510270267725,0.00945509225130081,0.0141976410523057,0.363076686859131,0.095066025853157,0.121939450502396,141026.78125,38.1675685924416
"AL031",4.69746351242065,11.8939266204834,23.3906936645508,15.0368785858154,18.693229675293,3.20044636726379,2.61045169830322,0.86292165517807,3.04166722297668,75.6908798217773,70.6316375732422,59.0026054382324,70.5297088623047,0.277892976999283,0.189322263002396,0.0160492248833179,0.013200618326664,0.0759148821234703,0,0.425217598676682,0,81769.703125,44.9876445579782
