"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density"
"AD",3.74514627456665,9.20377540588379,19.8258838653564,12.2086143493652,16.080738067627,2.87450480461121,3.05540084838867,2.23938536643982,2.69433426856995,75.1050186157227,74.4054107666016,71.7246551513672,76.8614273071289,0.0966834276914597,0.0665047392249107,0.0431184619665146,0.0200678892433643,8.93027972779237e-05,0.0313368737697601,0.161688670516014,0.58051061630249,19144.14453125,40.4042903367523
"AL013",2.01478576660156,10.2809925079346,21.4433822631836,12.1983814239502,19.428596496582,4.60437440872192,3.30812811851501,1.27173352241516,3.54243683815002,79.6024856567383,71.6799545288086,60.3633766174316,72.2169189453125,0.150688022375107,0.179330259561539,0.00543484091758728,0.0186855047941208,0.0795449391007423,0,0.564703404903412,0,141413.03125,60.9158507119041
"AL015",2.82441711425781,10.6013612747192,21.7617454528809,12.7865800857544,18.937328338623,6.54601573944092,4.17521190643311,1.33295941352844,5.01183652877808,77.818359375,71.972785949707,62.5567092895508,72.3365859985352,0.152528807520866,0.138503506779671,0.00658278819173574,0.0128609500825405,0.111590594053268,0,0.534318149089813,0,190645.84375,53.3268557261625
"AL014",7.10896921157837,14.56432056427,25.5664253234863,16.7973194122314,18.4574565887451,5.23808574676514,3.38199663162231,1.19551610946655,4.085862159729,76.025146484375,71.6722640991211,63.1147346496582,71.8168411254883,0.201556116342545,0.12600776553154,5.29534194271264e-10,0.0199109893292189,0.106691502034664,0,0.471768110990524,0,83770.1484375,50.5695233786063
"AL011",4.11456298828125,11.911208152771,23.0554504394531,14.0961036682129,18.9408893585205,4.24578905105591,2.993807554245,1.10783064365387,3.30823731422424,80.4447021484375,72.9057998657227,62.7737045288086,73.2540893554688,0.180787578225136,0.177975296974182,0.0017262912588194,0.0127194160595536,0.102436207234859,0,0.511410236358643,0,113556.6328125,45.0597712390432
"AL012",8.786452293396,15.6624364852905,26.4858074188232,18.1744270324707,17.6993560791016,4.57694435119629,2.97188520431519,0.978676557540894,3.69082188606262,74.1302261352539,70.4910888671875,63.6306076049805,71.0321426391602,0.298381954431534,0.126710444688797,4.93267426904254e-10,0.0352259129285812,0.0896877646446228,0,0.409240424633026,0,212089.8125,275.605278932466
"AL021",5.13486242294312,12.4228382110596,23.4916019439697,14.9297494888306,18.3567390441895,3.76545262336731,2.61355018615723,0.933914840221405,3.05263042449951,79.1268463134766,71.0979690551758,61.9229888916016,72.261116027832,0.194026470184326,0.170370221138,0.00985873583704233,0.0166771523654461,0.0979486852884293,0,0.504946708679199,0,332797.65625,100.568831828955
"AL022",8.38387775421143,15.1419134140015,25.9494285583496,17.7565174102783,17.5655517578125,3.96701622009277,2.67094039916992,0.857875823974609,3.25638890266418,74.9500198364258,70.3820037841797,63.6694793701172,71.2099380493164,0.327523082494736,0.142649412155151,6.481362113675e-10,0.0386189706623554,0.0846447572112083,0,0.401451945304871,0,649815.875,392.593157323027
"AL034",3.29919362068176,11.0235071182251,22.3341884613037,13.4764547348022,19.0349922180176,3.32966613769531,2.34638452529907,0.913748800754547,2.68424677848816,81.6410293579102,71.7998199462891,58.9655113220215,71.6269989013672,0.202475860714912,0.111092321574688,0.0253510270267725,0.00945509225130081,0.0141976410523057,0.363076686859131,0.095066025853157,0.121939450502396,141026.78125,38.1675685924416
"AL031",6.35432243347168,13.2644004821777,24.2172336578369,15.9658546447754,17.8629112243652,4.01069688796997,2.50952076911926,0.801346600055695,3.27664065361023,77.6964797973633,70.3035507202148,60.7804527282715,71.6104049682617,0.277892976999283,0.189322263002396,0.0160492248833179,0.013200618326664,0.0759148821234703,0,0.425217598676682,0,81769.703125,44.9876445579782
"AL032",10.436764717102,16.6336879730225,27.2475872039795,19.5180397033691,16.8108215332031,3.93904685974121,2.41456246376038,0.678947508335114,3.4678201675415,75.2129898071289,69.5182418823242,61.7063522338867,71.4416961669922,0.504736602306366,0.195733547210693,0.00170525046996772,0.0273326933383942,0.0377445667982101,0,0.219144940376282,0,185045.28125,99.8715448529241
"AL035",8.99705410003662,15.4738245010376,26.0313720703125,18.2724590301514,17.0343189239502,5.73445177078247,2.71982049942017,0.53558224439621,4.6157431602478,76.4121932983398,72.9518890380859,65.029426574707,73.733772277832,0.232436463236809,0.192491814494133,0.0368911363184452,0.00853742938488722,0.0299570895731449,0.00472334586083889,0.326033264398575,0.000885228510014713,53815.66796875,19.7263420825584
"AL033",5.48797416687012,12.4444417953491,23.4291114807129,15.1765050888062,17.9411392211914,5.67638969421387,2.85783195495605,0.686831474304199,4.36193370819092,77.5751953125,71.7149047851562,61.1951599121094,72.0837249755859,0.235997498035431,0.185734272003174,0.0234470088034868,0.00659365253522992,0.0559164173901081,0.0137218246236444,0.42472043633461,0.00301213143393397,43306.484375,15.0829010272337
"AT11",3.30543851852417,12.9017095565796,22.8423023223877,13.2358856201172,19.5368633270264,1.45286858081818,2.1687490940094,2.8768162727356,2.0504469871521,81.7655639648438,68.7802047729492,65.6574630737305,77.2845230102539,0.318678706884384,0.167155057191849,0.000196381864952855,0.0186286121606827,2.40619273754563e-30,0.0330400876700878,0.216814443469048,0.225792691111565,385726.5,97.5696685281679
"AT12",2.52680087089539,11.7924480438232,21.4536628723145,12.2775173187256,18.9268627166748,2.15322494506836,2.60411643981934,3.11881256103516,1.94743287563324,83.4554290771484,71.5523452758789,70.0334548950195,79.5845642089844,0.29945969581604,0.155002012848854,0.0035886955447495,0.0243675075471401,2.69342872007513e-32,0.13586238026619,0.0761191323399544,0.305257230997086,3539825,185.346832831402
"AT13",3.89741015434265,13.3300933837891,23.1889820098877,13.5870733261108,19.2915725708008,1.73050665855408,2.13986015319824,2.48360109329224,1.77183401584625,81.9860763549805,69.1773147583008,65.501579284668,76.7328796386719,0.285119473934174,0.100767128169537,2.47817016907348e-10,0.13029445707798,0,0.119626969099045,0,0.364191949367523,500808.46875,1181.3289143251
"AT21",-0.0552204623818398,7.57818031311035,17.4178237915039,9.48944187164307,17.4730453491211,2.24547481536865,3.55132341384888,4.2172269821167,3.69265413284302,82.7957305908203,76.5050811767578,76.1000823974609,83.2068252563477,0.0900074988603592,0.0986280515789986,0.0530956536531448,0.0158357862383127,0,0,0.738299429416656,0,648291.5,68.5773441877423
"AT22",0.525467097759247,8.89595890045166,18.4485874176025,10.2161798477173,17.9231204986572,2.3948814868927,3.29752898216248,4.39488220214844,2.9977331161499,83.9470901489258,75.146125793457,76.1819152832031,83.1914978027344,0.102282345294952,0.0988739803433418,0.0287099238485098,0.0182357095181942,2.52466136916892e-24,0.0505027808248997,0.687944948673248,0.0125058647245169,1378917.5,84.2274045808479
