"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density"
"AD",2.5078592300415,8.13986396789551,18.1173114776611,10.9629669189453,15.6094522476196,2.46404266357422,3.02597904205322,2.3909068107605,2.863445520401,74.0785217285156,74.4565505981445,72.9979858398438,77.1795959472656,0.0966834276914597,0.0665047392249107,0.0431184619665146,0.0200678892433643,8.93027972779237e-05,0.0313368737697601,0.161688670516014,0.58051061630249,19144.14453125,40.4042903367523
"AL013",0.0519073531031609,9.01485252380371,19.3297843933105,10.8393440246582,19.2778759002686,4.3746190071106,3.27210688591003,1.7743821144104,4.76082134246826,79.3309326171875,72.193115234375,65.3844146728516,76.0890579223633,0.150688022375107,0.179330259561539,0.00543484091758728,0.0186855047941208,0.0795449391007423,0,0.564703404903412,0,141413.03125,60.9158507119041
"AL015",0.990710914134979,9.34530544281006,19.7334518432617,11.4611558914185,18.7427406311035,6.2418851852417,4.04878759384155,1.89325058460236,6.87360715866089,77.481559753418,72.3865203857422,66.994270324707,76.1058807373047,0.152528807520866,0.138503506779671,0.00658278819173574,0.0128609500825405,0.111590594053268,0,0.534318149089813,0,190645.84375,53.3268557261625
"AL014",5.41489410400391,13.3260068893433,23.7223587036133,15.5386295318604,18.3074645996094,4.9278736114502,3.39574837684631,1.46735644340515,5.21896123886108,75.8610000610352,72.2778472900391,66.3821792602539,74.7821426391602,0.201556116342545,0.12600776553154,5.29534194271264e-10,0.0199109893292189,0.106691502034664,0,0.471768110990524,0,83770.1484375,50.5695233786063
"AL011",2.31047701835632,10.6783275604248,21.1048240661621,12.8139820098877,18.7943477630615,4.01067304611206,3.00346970558167,1.41743671894073,4.26037645339966,79.8883972167969,73.4667510986328,66.5931167602539,76.5522766113281,0.180787578225136,0.177975296974182,0.0017262912588194,0.0127194160595536,0.102436207234859,0,0.511410236358643,0,113556.6328125,45.0597712390432
"AL012",7.25983190536499,14.4068288803101,24.6805839538574,16.9761543273926,17.4207515716553,4.46205425262451,2.99506759643555,1.14691579341888,4.60843944549561,73.8755645751953,71.5037384033203,66.4297103881836,73.596321105957,0.298381954431534,0.126710444688797,4.93267426904254e-10,0.0352259129285812,0.0896877646446228,0,0.409240424633026,0,212089.8125,275.605278932466
"AL021",3.59211754798889,11.1800012588501,21.5769710540771,13.7190885543823,17.9848537445068,3.59569239616394,2.65977239608765,1.14918971061707,3.7737455368042,78.611328125,72.138069152832,65.3009185791016,75.2110214233398,0.194026470184326,0.170370221138,0.00985873583704233,0.0166771523654461,0.0979486852884293,0,0.504946708679199,0,332797.65625,100.568831828955
"AL022",6.89716815948486,13.8816032409668,24.1206760406494,16.5773944854736,17.2235069274902,3.95287728309631,2.6986825466156,0.9981929063797,4.01989316940308,74.5079879760742,71.5613327026367,66.4658508300781,73.7182159423828,0.327523082494736,0.142649412155151,6.481362113675e-10,0.0386189706623554,0.0846447572112083,0,0.401451945304871,0,649815.875,392.593157323027
"AL034",1.70782601833344,9.81480312347412,20.3607921600342,12.2201671600342,18.6529655456543,3.18528580665588,2.38148260116577,1.06970143318176,3.31492352485657,81.4409561157227,72.7136383056641,62.900749206543,74.9966430664062,0.202475860714912,0.111092321574688,0.0253510270267725,0.00945509225130081,0.0141976410523057,0.363076686859131,0.095066025853157,0.121939450502396,141026.78125,38.1675685924416
"AL031",4.96839284896851,12.042965888977,22.4076309204102,14.7934713363647,17.4392375946045,3.69983100891113,2.57168364524841,1.00649881362915,3.88628387451172,77.3330535888672,71.3652877807617,63.7344093322754,74.2918319702148,0.277892976999283,0.189322263002396,0.0160492248833179,0.013200618326664,0.0759148821234703,0,0.425217598676682,0,81769.703125,44.9876445579782
"AL032",9.10560131072998,15.3838348388672,25.5219249725342,18.3321914672852,16.4163265228271,3.67695093154907,2.42949056625366,0.84635192155838,4.027268409729,74.7693023681641,70.7063751220703,64.2099990844727,73.7483673095703,0.504736602306366,0.195733547210693,0.00170525046996772,0.0273326933383942,0.0377445667982101,0,0.219144940376282,0,185045.28125,99.8715448529241
"AL035",7.81069278717041,14.3561916351318,24.5807418823242,17.2322177886963,16.7700500488281,4.88230133056641,2.76397824287415,0.689550280570984,5.10584831237793,76.2846221923828,73.6408081054688,66.1166534423828,75.3867340087891,0.232436463236809,0.192491814494133,0.0368911363184452,0.00853742938488722,0.0299570895731449,0.00472334586083889,0.326033264398575,0.000885228510014713,53815.66796875,19.7263420825584
"AL033",4.21402978897095,11.3338422775269,21.8073253631592,14.0882253646851,17.5932941436768,4.93976306915283,2.90952706336975,0.875092387199402,4.96177816390991,77.3493194580078,72.3118438720703,63.2973747253418,74.2771987915039,0.235997498035431,0.185734272003174,0.0234470088034868,0.00659365253522992,0.0559164173901081,0.0137218246236444,0.42472043633461,0.00301213143393397,43306.484375,15.0829010272337
"AT11",1.36907339096069,11.8670520782471,20.5316410064697,11.6495227813721,19.1625690460205,1.40322947502136,2.12146997451782,3.17951941490173,2.08759164810181,80.7479019165039,68.9475555419922,68.9505081176758,79.2525863647461,0.318678706884384,0.167155057191849,0.000196381864952855,0.0186286121606827,2.40619273754563e-30,0.0330400876700878,0.216814443469048,0.225792691111565,385726.5,97.5696685281679
"AT12",0.542209208011627,10.7695083618164,19.4265995025635,10.7294979095459,18.8843898773193,2.10917687416077,2.60774254798889,3.43647456169128,2.12050724029541,82.6700057983398,71.8073654174805,71.4956741333008,80.6000671386719,0.29945969581604,0.155002012848854,0.0035886955447495,0.0243675075471401,2.69342872007513e-32,0.13586238026619,0.0761191323399544,0.305257230997086,3539825,185.346832831402
"AT13",1.77329933643341,12.2931222915649,21.0038414001465,11.963830947876,19.2305431365967,1.68153750896454,2.11605262756348,2.78043437004089,1.97250485420227,81.6836395263672,69.7697067260742,68.0107650756836,78.5971221923828,0.285119473934174,0.100767128169537,2.47817016907348e-10,0.13029445707798,0,0.119626969099045,0,0.364191949367523,500808.46875,1181.3289143251
