"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density"
"AD",2.51494073867798,8.77269840240479,20.2391395568848,11.3025436401367,17.7241992950439,2.64067840576172,2.75876545906067,1.7485111951828,2.77479386329651,73.2707138061523,71.1188125610352,63.9308128356934,74.5615844726562,0.0966834276914597,0.0665047392249107,0.0431184619665146,0.0200678892433643,8.93027972779237e-05,0.0313368737697601,0.161688670516014,0.58051061630249,19144.14453125,40.4042903367523
"AL013",1.44138336181641,9.62226295471191,20.1681938171387,11.0489664077759,18.7268123626709,4.24663019180298,3.08855724334717,1.49194157123566,4.14954948425293,75.2787475585938,69.2357406616211,62.2414131164551,73.2501220703125,0.150688022375107,0.179330259561539,0.00543484091758728,0.0186855047941208,0.0795449391007423,0,0.564703404903412,0,141413.03125,60.9158507119041
"AL015",2.37481570243835,9.99744510650635,20.6214580535889,11.6980247497559,18.2466411590576,5.94538402557373,3.81825542449951,1.53823828697205,5.78148937225342,73.4046249389648,69.2810745239258,63.4001083374023,72.7060089111328,0.152528807520866,0.138503506779671,0.00658278819173574,0.0128609500825405,0.111590594053268,0,0.534318149089813,0,190645.84375,53.3268557261625
"AL014",6.64094686508179,14.1293697357178,25.1812324523926,16.0317268371582,18.5402851104736,4.64943361282349,3.12912321090698,1.32265484333038,4.48971748352051,72.306640625,67.7589645385742,59.4085502624512,70.2466278076172,0.201556116342545,0.12600776553154,5.29534194271264e-10,0.0199109893292189,0.106691502034664,0,0.471768110990524,0,83770.1484375,50.5695233786063
"AL011",3.56636548042297,11.3793716430664,22.385181427002,13.2456007003784,18.8188190460205,3.81009554862976,2.79660415649414,1.26369047164917,3.78351306915283,76.3336791992188,69.8701095581055,60.994701385498,72.8591690063477,0.180787578225136,0.177975296974182,0.0017262912588194,0.0127194160595536,0.102436207234859,0,0.511410236358643,0,113556.6328125,45.0597712390432
"AL012",8.51694583892822,15.2529067993164,26.205961227417,17.5045185089111,17.6890144348145,4.03470039367676,2.7888035774231,1.04967367649078,3.90698766708374,70.3528213500977,66.7553482055664,59.1519241333008,68.9029846191406,0.298381954431534,0.126710444688797,4.93267426904254e-10,0.0352259129285812,0.0896877646446228,0,0.409240424633026,0,212089.8125,275.605278932466
"AL021",4.78786849975586,11.9140911102295,22.9465351104736,14.1905765533447,18.1586666107178,3.38623189926147,2.46149969100952,1.01865696907043,3.35109686851501,75.3947067260742,68.5010452270508,59.6553153991699,71.5158081054688,0.194026470184326,0.170370221138,0.00985873583704233,0.0166771523654461,0.0979486852884293,0,0.504946708679199,0,332797.65625,100.568831828955
"AL022",8.18041038513184,14.7066946029663,25.6020736694336,17.0965099334717,17.4216651916504,3.5009503364563,2.53863334655762,0.91548502445221,3.42337870597839,71.0000228881836,67.0729293823242,59.6012916564941,69.2856140136719,0.327523082494736,0.142649412155151,6.481362113675e-10,0.0386189706623554,0.0846447572112083,0,0.401451945304871,0,649815.875,392.593157323027
"AL034",2.74186301231384,10.5438280105591,21.8720951080322,12.713568687439,19.1302318572998,3.01563692092896,2.157395362854,0.902250170707703,3.04827880859375,78.6777038574219,69.0571594238281,57.1766319274902,71.4440383911133,0.202475860714912,0.111092321574688,0.0253510270267725,0.00945509225130081,0.0141976410523057,0.363076686859131,0.095066025853157,0.121939450502396,141026.78125,38.1675685924416
"AL031",6.00119066238403,12.8046503067017,23.9063320159912,15.3049087524414,17.9051399230957,3.55055475234985,2.3089292049408,0.883398056030273,3.40520405769348,74.6487121582031,67.5423049926758,57.9259948730469,70.4624938964844,0.277892976999283,0.189322263002396,0.0160492248833179,0.013200618326664,0.0759148821234703,0,0.425217598676682,0,81769.703125,44.9876445579782
