"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density"
"AD",3.38008284568787,8.61916923522949,20.3689346313477,12.152003288269,16.9888515472412,2.74924421310425,2.84525227546692,2.26023387908936,2.76280117034912,74.4302062988281,72.4553756713867,70.6503753662109,76.55322265625,0.0966761633753777,0.0665047392249107,0.0431184619665146,0.0279050841927528,4.7047567932168e-05,0.0311771687120199,0.160094439983368,0.574476897716522,19260.39453125,40.6496394430537
"AL013",1.46175372600555,10.060697555542,21.7738456726074,13.1315507888794,20.3120918273926,4.04014253616333,3.19787621498108,1.85617589950562,4.14383029937744,78.541633605957,70.3298110961914,62.7067527770996,72.4084396362305,0.15067346394062,0.179330259561539,0.00543484091758728,0.0225980281829834,0.0503976941108704,0,0.589952707290649,0,119673.328125,51.551137301989
"AL015",2.36898899078369,10.3796072006226,22.1982498168945,13.6343221664429,19.8292598724365,5.66784048080444,4.01668977737427,1.80931460857391,6.0005784034729,76.6530380249023,70.4542007446289,63.9017601013184,72.4936141967773,0.152487561106682,0.138503506779671,0.00658278819173574,0.0149424122646451,0.0707328990101814,0,0.573135614395142,0,150111.171875,41.988624813455
"AL014",6.79812288284302,14.3426742553711,26.208065032959,17.7510433197021,19.4099407196045,4.36339378356934,3.48623824119568,1.50449311733246,4.55699300765991,75.4929656982422,70.3714141845703,62.486629486084,71.224365234375,0.201391234993935,0.12600776553154,5.29534194271264e-10,0.0268356911838055,0.0674155876040459,0,0.504284203052521,0,55482.609375,33.4931853915535
"AL011",3.73515939712524,11.7000350952148,23.4956340789795,15.1138725280762,19.7604751586914,3.59349393844604,3.03811883926392,1.52704262733459,3.73938703536987,79.5370864868164,71.8822555541992,63.7775955200195,72.9708404541016,0.18070937693119,0.177975296974182,0.0017262912588194,0.0153595479205251,0.0715172365307808,0,0.539767265319824,0,80379.78125,31.8950506515076
"AL012",8.68254661560059,15.431360244751,27.2012138366699,19.1434326171875,18.518669128418,3.85585045814514,3.15135717391968,1.14935159683228,4.07145500183105,73.5228424072266,69.6385650634766,62.2808265686035,70.1499938964844,0.298092812299728,0.126710444688797,4.93267426904254e-10,0.042784508317709,0.0683877170085907,0,0.423271000385284,0,147821.65625,192.09045603282
"AL021",5.03582525253296,12.2084360122681,24.0177993774414,15.9722633361816,18.9819736480713,3.2011227607727,2.72204041481018,1.21234452724457,3.36330938339233,78.1978302001953,70.5216445922852,62.1695594787598,71.7707138061523,0.193907126784325,0.170370221138,0.00985873583704233,0.0194081496447325,0.0856286436319351,0,0.51465505361557,0,230683.765625,69.7108179553492
"AL022",8.35321998596191,14.9125671386719,26.620023727417,18.757698059082,18.2668037414551,3.38952660560608,2.86250472068787,1.01437366008759,3.58352947235107,74.1637115478516,69.8323364257812,62.6238632202148,70.3070983886719,0.327218651771545,0.142649412155151,6.481362113675e-10,0.0448836907744408,0.0736560225486755,0,0.406480371952057,0,454414.96875,274.539626038541
"AL034",3.08862733840942,10.819375038147,22.9016933441162,14.4824514389038,19.8130664825439,2.7984938621521,2.42912173271179,1.05475986003876,3.02947402000427,80.9928588867188,71.0325393676758,59.2777862548828,71.6695556640625,0.202406033873558,0.111092321574688,0.0253510270267725,0.0112291183322668,0.0124107943847775,0.362320125102997,0.096533328294754,0.121311329305172,101569.609375,27.4888570693222
"AL031",6.39563941955566,13.0651683807373,24.9002838134766,16.9997863769531,18.5046443939209,3.29473924636841,2.62649011611938,1.00278925895691,3.47686696052551,76.8001480102539,69.4905395507812,60.0649757385254,71.0499572753906,0.277684032917023,0.189322263002396,0.0160492248833179,0.0157022420316935,0.0666093975305557,0,0.432230412960052,0,51966.54296875,28.5906915965097
