"NUTM","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","total_population","population_density","total_population_density"
"AD",4.37347173690796,10.230655670166,22.8577461242676,14.0898389816284,18.4842739105225,2.51923179626465,2.40841817855835,1.29094111919403,2.07465505599976,72.6348648071289,68.7108764648438,60.1613807678223,70.4713363647461,0.0966519117355347,0.0665047392249107,0.0431184619665146,0.0353687144815922,1.59495448315283e-05,0.0310240089893341,0.158572748303413,0.568743467330933,18455.4765625,NA,38.9508359653869
"AL013",2.74463939666748,11.5570049285889,24.6809253692627,14.1456499099731,21.9362850189209,3.67541885375977,2.62569713592529,1.04346358776093,3.31908011436462,77.1811218261719,64.4069061279297,50.6950798034668,68.8561325073242,0.150624856352806,0.179330259561539,0.00543484091758728,0.019755719229579,0.0149646969512105,0,0.628276586532593,0,101537.5234375,NA,43.7388588922933
"AL015",3.69242644309998,11.8452568054199,25.0945491790771,14.828667640686,21.4021244049072,4.76375389099121,3.13401222229004,1.00337052345276,4.47713327407837,74.87451171875,64.7696304321289,51.2488975524902,68.2595062255859,0.152338758111,0.138503506779671,0.00658278819173574,0.0144845768809319,0.0210027247667313,0,0.623472452163696,0,120021.5546875,NA,33.5720517424081
"AL014",8.03719806671143,15.9872636795044,28.6109638214111,18.6875343322754,20.5737648010254,3.88533139228821,2.72134184837341,0.930181384086609,3.56592321395874,72.97021484375,63.9535140991211,54.0416488647461,68.8365478515625,0.200759068131447,0.12600776553154,5.29534194271264e-10,0.0279268771409988,0.0200119819492102,0,0.551228821277618,0,37896.8125,NA,22.8771678388899
"AL011",4.92236042022705,13.368691444397,26.3015689849854,16.0190353393555,21.3792095184326,3.1002037525177,2.34753704071045,0.928976893424988,2.87183809280396,77.6112060546875,64.9900436401367,53.6276931762695,70.3177032470703,0.180434748530388,0.177975296974182,0.0017262912588194,0.0149351451545954,0.0381726250052452,0,0.573810935020447,0,60304.1953125,NA,23.928969873759
"AL012",9.92546463012695,17.0632209777832,29.458194732666,20.1203269958496,19.5327281951904,3.39024066925049,2.4064245223999,0.677654027938843,2.96338534355164,70.800178527832,63.3817710876465,54.6019668579102,67.8610000610352,0.296968430280685,0.126710444688797,4.93267426904254e-10,0.0442567691206932,0.0504707619547844,0,0.440840095281601,0,108815.1875,NA,141.402548993371
"AL021",6.19756555557251,13.9105424880981,26.5757865905762,16.8716411590576,20.3782215118408,2.67090940475464,2.02751708030701,0.738823473453522,2.3755156993866,75.9758682250977,63.7262725830078,53.6482086181641,69.2363815307617,0.193463861942291,0.170370221138,0.00985873583704233,0.0190479885786772,0.085582785308361,0,0.51550430059433,0,168407.625,NA,50.8914585162096
"AL022",9.57751083374023,16.5475978851318,28.9719734191895,19.7418384552002,19.3944644927979,2.92329406738281,2.15063524246216,0.574128031730652,2.4708034992218,71.5853042602539,63.4722709655762,54.5977554321289,67.9480972290039,0.326038837432861,0.142649412155151,6.481362113675e-10,0.0459223166108131,0.0735632628202438,0,0.4067143201828,0,336269.125,NA,203.160560664975
"AL034",4.22870779037476,12.6293087005615,25.1746215820312,15.284857749939,20.9459133148193,2.18588280677795,1.71728897094727,0.711350381374359,2.14387154579163,78.283821105957,63.8701019287109,52.8661575317383,69.4367523193359,0.202172994613647,0.111092321574688,0.0253510270267725,0.0106241619214416,0.0124046755954623,0.362292915582657,0.0966453030705452,0.122070662677288,80627.4921875,NA,21.8210705174338
"AL031",7.53923320770264,14.7975540161133,26.9854354858398,17.8305187225342,19.4462032318115,2.74604177474976,1.87313210964203,0.665035605430603,2.41636252403259,74.1716232299805,62.9689979553223,54.3137016296387,68.8325500488281,0.276889801025391,0.189322263002396,0.0160492248833179,0.0156807173043489,0.0665710344910622,0,0.433084547519684,0,33631.85546875,NA,18.503405317988
