"NUTS_ID","2024","2025-2049","2050-2074","2075-2100"
"AD",19092.22265625,19005.453125,19565.505859375,21215.412109375
"AL013",151797.078125,152862.15625,149634.40625,144907.5
"AL015",218274.90625,213274.484375,204184.984375,198234.84375
"AL014",102795.3828125,95523.5703125,83397.0234375,75297.5078125
"AL011",136943.421875,127491.8828125,113090.2421875,103491.171875
"AL012",251447.40625,247680.140625,221795.15625,202732.71875
"AL021",393202.15625,378838.84375,338224.21875,309085.875
"AL022",756720.6875,747306.625,670113.3125,612827.5
"AL034",169329.296875,161035.46875,145094.734375,134207.875
"AL031",103186.90625,93426.6640625,79968.453125,71635.53125
"AL032",232563.421875,215807.78125,186972.1875,168308.546875
"AL035",72059.28125,67064.9453125,58535.7109375,53566.09765625
"AL033",52718.578125,48388.12890625,42436.34375,38993.26953125
"AT11",388474.53125,375018.90625,343195.59375,320235.53125
"AT12",3292300.75,3310385,3315559.25,3332628.5
"AT13",446695.84375,456919.03125,470517.5,474528.15625
"AT21",645077.1875,631864.5,611733.5,618958.3125
"AT22",1330383.75,1316404,1287145.625,1306009.5
"AT31",1543795.125,1504746,1405277.625,1334478.375
"AT32",522067.46875,525013.1875,541684.8125,585623.625
"AT33",881398.875,874756.625,889519.3125,971732.375
"AT34",434442.46875,432369.59375,426344.125,414076.5625
"BAG1652",1726203.375,1611331.125,1396695.625,1291010.75
"BAG1653",1278771.875,1172632.5,994625.6875,909149.75
"BE10",178698.15625,184532.421875,199453.25,227235.03125
"BE21",1443176.625,1465020.75,1508752.875,1589082.75
"BE22",1043040.75,1044884.375,1050387,1067701.125
"BE23",1454262.5,1486965,1561953.875,1694065.625
"BE24",1448661.5,1488130.25,1587769.375,1763861.625
"BE25",1291076.875,1326740.75,1412247.25,1555429.375
"BE31",710102.8125,730284.125,781620.625,870649.125
"BE32",1776103.25,1823227.75,1941252.25,2137758.25
"BE33",1241036.875,1240810.75,1250065.375,1275082.375
"BE34",405342.09375,401689.1875,394012.96875,390302.59375
"BE35",696278.6875,702660.5,722787.3125,762217.3125
"BG311",95801.515625,87416.78125,77538.6640625,72947.578125
"BG312",116372.2109375,103464.6328125,89251.984375,83774.8359375
"BG313",137108,121411.8515625,104202.46875,97883.671875
"BG314",219667.21875,200106.1875,176938.03125,166749.296875
"BG315",176201.859375,158620.765625,139472.375,132368.15625
"BG321",220675.953125,195872.9375,167452.71875,157547.171875
"BG322",99911.015625,88955.578125,76930.515625,72918.828125
"BG323",208162.328125,184483.46875,150662.484375,135440.3125
"BG324",99088.0078125,84767.96875,67883.3359375,61477.3046875
"BG325",159068.71875,145110.78125,127356.8984375,120466.5625
"BG331",409120.28125,375457.78125,323071.75,304485.53125
"BG332",187822.015625,167998.046875,142283.125,133283.109375
"BG333",151288.390625,130679.2109375,106476.9296875,97812.1875
"BG334",94075.078125,80986.8671875,65863.8671875,60632.18359375
"BG341",334414.875,306725.71875,262119.234375,246056.28125
"BG342",159762.75,141304.21875,117261.2421875,109631.8046875
"BG343",102539.40625,96068.203125,88789.2578125,85952.84375
"BG344",285999.59375,256092.5625,222047.21875,210600.609375
"BG411",649527.75,601547.0625,533698.25,509853.90625
"BG412",843726.25,777402.75,688983.8125,657715.9375
"BG413",246144.3125,224921.53125,200505.5625,191169.515625
"BG414",281548.75,260273.21875,231316.890625,221027.53125
"BG415",111414.3515625,101497.171875,90577.1328125,86472.8125
"BG421",667746.3125,618877.1875,553928.625,526581.9375
"BG422",236953.5,215310.328125,190006.046875,181719.96875
"BG423",239063.9375,215008.625,188075.25,178129.484375
"BG424",93624.671875,85467.8203125,77225.3359375,72906.4921875
"BG425",138968.515625,125066.3125,110068.984375,104682.0546875
"CH01",1283085.625,1321496.25,1403843.5,1557494.75
"CH02",2018806.375,2067953.125,2171092,2331566.75
"CH03",841906.375,859598.25,885213.4375,911745.125
"CH04",943033.75,976204.875,1031515.375,1097913
"CH05",1323487,1332511,1366198.25,1446766.25
"CH06",1284534.75,1327022.375,1395728.625,1477299.75
"CH07",424336.34375,421258.75,410471.375,407162.5625
"CZ01",253482.5625,253579.34375,251341.40625,254947.96875
"CZ02",2360581.75,2327281,2246761.25,2228907.5
"CZ03",1338335.625,1291297.75,1244325,1312915.875
"CZ04",1305367.125,1267396,1219107,1212794.25
"CZ05",1605824.125,1526113.5,1414782.75,1357476
"CZ06",1665770.625,1622768.25,1588467.875,1661253.375
"CZ07",1194541,1135179.5,1055410.125,1032451.125
"CZ08",1240288.25,1194986.75,1128832.25,1099062
"DE11",3881418,3806339.5,3739025.5,3789256.25
"DE12",2550998,2494123.75,2407526.75,2372335.5
"DE13",2508238.75,2498654.5,2535627,2672520.75
"DE14",2138192.75,2091113,2090275.75,2209206.75
"DE21",4698538,4689887,4942293.5,5560706.5
"DE22",1249770,1191487,1128726.875,1185456.375
"DE23",1296531,1251828.875,1202985.5,1250600.625
"DE24",1058137.625,1006195.3125,925854.25,904391
"DE25",1613466,1577474.75,1523174.875,1527597.5
"DE26",1235849.5,1171590,1062110.5,1007723.375
"DE27",1932277.25,1924134.5,2005665.875,2238462.25
"DE30",701837.375,703516.8125,740877.25,817727.1875
"DE40",5566802.5,5506268,5601371.5,6002508.5
"DE50",172934.234375,166923.75,152109.953125,145675.828125
"DE60",386247.625,373771.25,342293.25,320823.59375
"DE71",3813664.25,3740962.75,3594411.25,3506911.75
"DE72",1428390.5,1353127.5,1196745.625,1074390.375
"DE73",1237468.125,1176146.25,1067711.125,995266.6875
"DE80",1362397.875,1312537.75,1269725.5,1380122.25
"DE91",1448501.875,1395428.125,1300248.25,1247552.25
"DE92",2333852.25,2248042.75,2072032.75,1961018.875
"DE93",2519060.25,2406453,2179266.5,2080560
"DE94",2304928.75,2192222.25,2006667.375,1977494.25
